DateTime,DAP,Lp,Lm
01/02/2020 00:00,26.03,0.891279293,1
01/02/2020 01:00,24.91,0.660377358,1
01/02/2020 02:00,22,0.496363636,1
01/02/2020 03:00,20.5,0.009268293,1
01/02/2020 04:00,18.69,0.005350455,1
01/02/2020 05:00,20.83,0.005280845,1
01/02/2020 06:00,23.6,0.021610169,1
01/02/2020 07:00,25.51,0.003920031,1
01/02/2020 08:00,25.99,1,1.419392074
01/02/2020 09:00,30.1,1,1.307973422
01/02/2020 10:00,32.21,1,1.360136604
01/02/2020 11:00,32.21,1,1.283141881
01/02/2020 12:00,30,1,1.061
01/02/2020 13:00,29.1,1,1.173883162
01/02/2020 14:00,27.8,0.171582734,1
01/02/2020 15:00,26.13,0.188289323,1
01/02/2020 16:00,28.27,0.522461974,1
01/02/2020 17:00,30.03,0.662337662,1
01/02/2020 18:00,36.63,0.686868687,1
01/02/2020 19:00,39.63,0.734292203,1
01/02/2020 20:00,40.1,1,1.135910224
01/02/2020 21:00,39.83,1,1.129801657
01/02/2020 22:00,38.25,0.634771242,1
01/02/2020 23:00,33.21,0.89701897,1
02/02/2020 00:00,30.37,1,1.003292723
02/02/2020 01:00,24.91,1,1.295463669
02/02/2020 02:00,19.5,1,1.737948718
02/02/2020 03:00,14.71,1,2.277362339
02/02/2020 04:00,11,1,1.25
02/02/2020 05:00,14,0.5,1
02/02/2020 06:00,20.45,0.376528117,1
02/02/2020 07:00,21.52,1,1.25
02/02/2020 08:00,22,1,1.742272727
02/02/2020 09:00,25.51,0.286946296,1
02/02/2020 10:00,28.03,0.78487335,1
02/02/2020 11:00,29.23,0.054738283,1
02/02/2020 12:00,28.03,1,1.138066357
02/02/2020 13:00,27.51,0.636132316,1
02/02/2020 14:00,27,0.311851852,1
02/02/2020 15:00,23.49,0.22605364,1
02/02/2020 16:00,25.01,0.046381447,1
02/02/2020 17:00,29.97,0.047380714,1
02/02/2020 18:00,35.02,0.444031982,1
02/02/2020 19:00,42.61,0.720018775,1
02/02/2020 20:00,45.19,0.730250055,1
02/02/2020 21:00,45.17,0.752711977,1
02/02/2020 22:00,42.02,0.7039505,1
02/02/2020 23:00,36.08,0.819013304,1
03/02/2020 00:00,39.2,0.766836735,1
03/02/2020 01:00,30,1,1.163
03/02/2020 02:00,27,1,1.255185185
03/02/2020 03:00,26.49,1,1.132502831
03/02/2020 04:00,27,0.855925926,1
03/02/2020 05:00,30,0.733333333,1
03/02/2020 06:00,39.2,0.544387755,1
03/02/2020 07:00,42.61,0.737620277,1
03/02/2020 08:00,45.13,0.753379127,1
03/02/2020 09:00,44.61,0.663080027,1
