,11-Feb-2020,10-Feb-2020,9-Feb-2020,8-Feb-2020,7-Feb-2020,6-Feb-2020,5-Feb-2020,4-Feb-2020,3-Feb-2020,2-Feb-2020,1-Feb-2020,31-Jan-2020,30-Jan-2020,29-Jan-2020,28-Jan-2020,27-Jan-2020,2-Feb-2020,1-Feb-2020,31-Jan-2020,30-Jan-2020,29-Jan-2020,28-Jan-2020,27-Jan-2020,26-Jan-2020,1-Feb-2020,31-Jan-2020,30-Jan-2020,29-Jan-2020,28-Jan-2020,27-Jan-2020,26-Jan-2020,25-Jan-2020,24-Jan-2020,23-Jan-2020,22-Jan-2020,21-Jan-2020,20-Jan-2020,19-Jan-2020,18-Jan-2020,17-Jan-2020,16-Jan-2020,15-Jan-2020,14-Jan-2020,13-Jan-2020,12-Jan-2020,11-Jan-2020,10-Jan-2020,9-Jan-2020
00 - 01,19.62,11.32,23.14,25.07,33.32,24.2,25.44,20.79,15.92,19.9,19,24.03,29,25.7,27.25,25.3,19.9,19,24.03,29,25.7,27.25,25.3,34.19,19,24.03,29,25.7,27.25,25.3,34.19,27.1,35.19,37.91,29.99,30.77,34.24,33.1,27.34,27.36,28.81,25.18,23.1,29.13,25.26,35.01,28,34.08
01 - 02,20,9.75,15.46,24.28,32.18,23.83,25,17.41,15.55,14.91,23.5,18.38,27.46,26.93,26.84,26.6,14.91,23.5,18.38,27.46,26.93,26.84,26.6,33.3,23.5,18.38,27.46,26.93,26.84,26.6,33.3,28.11,35.72,35,29.99,31,34.01,30.71,27.2,27.16,29.54,23,19.67,26.8,23.79,34,27.6,32.2
02 - 03,19.34,9.11,14.14,23.98,28.1,23.82,24.43,16.24,14.38,15.88,21,19.75,25.54,20.36,25.64,25.21,15.88,21,19.75,25.54,20.36,25.64,25.21,32.4,21,19.75,25.54,20.36,25.64,25.21,32.4,27.3,35.18,30.1,28.99,28.57,33.08,28.88,26.71,26.58,29.18,21.66,14.61,25.47,25.1,31.43,28.12,32.56
03 - 04,12.04,2.79,9.18,22.9,25,24.42,23.63,12.56,9.29,16.55,15.51,17.29,24.9,20.83,24.99,23.39,16.55,15.51,17.29,24.9,20.83,24.99,23.39,29.84,15.51,17.29,24.9,20.83,24.99,23.39,29.84,26.5,34.12,34.34,30.3,30.26,32.1,28.7,25.96,25.71,28.34,21.19,8.93,24.95,23.75,29.14,26.75,32.11
04 - 05,12.12,2.6,7.54,21.75,25,25.25,24.83,12.03,10.94,33.56,15.25,16.21,24.99,21.4,25.1,21.16,33.56,15.25,16.21,24.99,21.4,25.1,21.16,29.33,15.25,16.21,24.99,21.4,25.1,21.16,29.33,27.1,34.47,34.44,31.67,31,31.5,27.63,26.01,26.01,28.3,11.1,8.24,25.12,23.31,28.84,27.07,29
05 - 06,14.91,9.32,4.95,20.12,26.35,27.92,26.62,15.88,11.18,35.34,19.9,20.39,26.61,25.8,26.13,24.6,35.34,19.9,20.39,26.61,25.8,26.13,24.6,28.1,19.9,20.39,26.61,25.8,26.13,24.6,28.1,27.1,30,29.99,31.83,29.56,33.12,27,26.55,27.97,28.86,19.29,17.29,27.32,23.58,28.43,27.95,29
06 - 07,22.82,15.33,6.08,22.34,34.42,32.9,37.54,24.88,26.78,36.53,22.6,25.4,31.83,29.03,26.5,21.4,36.53,22.6,25.4,31.83,29.03,26.5,21.4,28.11,22.6,25.4,31.83,29.03,26.5,21.4,28.11,29,42.45,47,38.43,33.44,45.63,27.7,27.35,30.06,38.47,28.56,27.4,37.87,24.9,28.85,29.18,35.28
07 - 08,34.32,31.65,13.93,25.54,47.6,43.15,44.91,29.7,36.49,36.88,25.76,37.67,45.9,41.12,41.64,28.4,36.88,25.76,37.67,45.9,41.12,41.64,28.4,29.49,25.76,37.67,45.9,41.12,41.64,28.4,29.49,35,58.29,58.74,49.26,48.24,55.67,29.91,30.1,40.19,44.97,38.26,31.74,48.64,29.6,30.29,43.29,46.5
08 - 09,34.9,42.58,20,28.05,56.74,44.88,49.16,35.01,39.97,36,29.9,40.11,46.2,44.41,44.94,40.65,36,29.9,40.11,46.2,44.41,44.94,40.65,31.17,29.9,40.11,46.2,44.41,44.94,40.65,31.17,39.9,66.74,66.62,60.65,63.39,60,31.47,32.24,43.8,52.4,36.73,35.91,52.93,28.6,35.68,47.4,47.85
09 - 10,37.76,41.89,28.59,29.07,47,47.8,44.78,34.9,39.26,38.13,32.74,43.15,49.04,41.85,44.33,38.9,38.13,32.74,43.15,49.04,41.85,44.33,38.9,34.09,32.74,43.15,49.04,41.85,44.33,38.9,34.09,43.34,65,64.86,64.25,65.41,57.01,35.14,38.65,43.19,47,33.91,39.57,49.89,28.6,40,53.63,45.68
