DateTime,Most recent forecast [MW],Day-Ahead forecast [MW],Week-Ahead forecast [MW],Real-time Upscaled Measurement [MW],Corrected Upscaled Measurement [MW],Monitored Capacity [MWp],Irradiation [kW/m2]
01/01/2018 00:00,0,0,0,0,0,481.05,0
01/01/2018 00:15,0,0,0,0,0,481.05,0
01/01/2018 00:30,0,0,0,0,0,481.05,0
01/01/2018 00:45,0,0,0,0,0,481.05,0
01/01/2018 01:00,0,0,0,0,0,481.05,0
01/01/2018 01:15,0,0,0,0,0,481.05,0
01/01/2018 01:30,0,0,0,0,0,481.05,0
01/01/2018 01:45,0,0,0,0,0,481.05,0
01/01/2018 02:00,0,0,0,0,0,481.05,0
01/01/2018 02:15,0,0,0,0,0,481.05,0
01/01/2018 02:30,0,0,0,0,0,481.05,0
01/01/2018 02:45,0,0,0,0,0,481.05,0
01/01/2018 03:00,0,0,0,0,0,481.05,0
01/01/2018 03:15,0,0,0,0,0,481.05,0
01/01/2018 03:30,0,0,0,0,0,481.05,0
01/01/2018 03:45,0,0,0,0,0,481.05,0
01/01/2018 04:00,0,0,0,0,0,481.05,0
01/01/2018 04:15,0,0,0,0,0,481.05,0
01/01/2018 04:30,0,0,0,0,0,481.05,0
01/01/2018 04:45,0,0,0,0,0,481.05,0
01/01/2018 05:00,0,0,0,0,0,481.05,0
01/01/2018 05:15,0,0,0,0,0,481.05,0
01/01/2018 05:30,0,0,0,0,0,481.05,0
01/01/2018 05:45,0,0,0,0,0,481.05,0
01/01/2018 06:00,0,0,0,0,0,481.05,0
01/01/2018 06:15,0,0,0,0,0,481.05,0
01/01/2018 06:30,0,0,0,0,0,481.05,0
01/01/2018 06:45,0,0,0,0,0,481.05,0
01/01/2018 07:00,0,0,0,0,0,481.05,0
01/01/2018 07:15,0,0,0,0,0,481.05,0
01/01/2018 07:30,0,0,0,0,0,481.05,0
01/01/2018 07:45,0,0,0,0,0,481.05,0
01/01/2018 08:00,0,0,0,0,0,481.05,0
01/01/2018 08:15,0,0,0,0,0,481.05,0
01/01/2018 08:30,0.01,0,0.01,0,0,481.05,0
01/01/2018 08:45,0.65,0.45,1.21,0,0,481.05,0
01/01/2018 09:00,2.78,1.92,7.56,3.56,3.02,481.05,6.277933687
01/01/2018 09:15,6.56,4.27,17.14,9.18,9.18,481.05,19.08325538
01/01/2018 09:30,11.84,7.17,27.22,9.6,18.35,481.05,38.1457229
01/01/2018 09:45,17.91,10.58,37.04,46.3,26.63,481.05,55.35807089
01/01/2018 10:00,23.86,14.45,46.96,67.99,33.6,481.05,69.84720923
01/01/2018 10:15,29.34,18.26,56.33,15.08,41.75,481.05,86.78931504
01/01/2018 10:30,34.24,21.69,65.46,25,52.5,481.05,109.1362644
01/01/2018 10:45,38.79,24.72,74.31,37.5,60.61,481.05,125.9952188
01/01/2018 11:00,51.69,27.42,82.38,19.26,63.08,481.05,131.1298202
01/01/2018 11:15,54.57,29.79,89.18,70.97,62.58,481.05,130.0904272
01/01/2018 11:30,56.17,31.58,94.58,74.89,61.13,481.05,127.0761875
01/01/2018 11:45,56.35,32.78,98.74,73.39,54.82,481.05,113.9590479
01/01/2018 12:00,55.62,33.6,101.78,60.66,48.85,481.05,101.5486956
01/01/2018 12:15,53.38,33.46,103.7,48.01,41.97,481.05,87.24664796
01/01/2018 12:30,49.92,32.5,104.5,40.34,34.18,481.05,71.0529051
01/01/2018 12:45,46.32,31.43,104.18,34.84,27.55,481.05,57.270554
01/01/2018 13:00,42.65,29.98,102.75,27.53,22.43,481.05,46.62716973
01/01/2018 13:15,38.56,27.25,100.22,24.44,17.6,481.05,36.58663341
01/01/2018 13:30,34.28,23.56,96.59,22.03,14.65,481.05,30.45421474
01/01/2018 13:45,30,20.05,91.85,19.86,12.54,481.05,26.0679763
01/01/2018 14:00,17.57,16.92,85.77,15.69,10.78,481.05,22.40931296
01/01/2018 14:15,15.5,14.44,78.41,11.64,10.52,481.05,21.8688286
01/01/2018 14:30,13.68,12.54,70.11,10.31,8.76,481.05,18.21016526
01/01/2018 14:45,11.81,10.79,61.34,6.71,7.28,481.05,15.133562
01/01/2018 15:00,9.9,9.06,52.11,6.72,6.14,481.05,12.76374597
01/01/2018 15:15,7.86,7.33,42.5,5.31,4.68,481.05,9.728718428
01/01/2018 15:30,5.87,5.64,33.48,2.87,3.16,481.05,6.568963725
01/01/2018 15:45,4.15,4,24.68,2.78,2.04,481.05,4.240723418
01/01/2018 16:00,2.12,2.47,15.51,1.98,1.16,481.05,2.411391747
01/01/2018 16:15,1.11,1.16,6.65,0.24,0.4,481.05,0.831514396
01/01/2018 16:30,0.31,0.29,1.11,0.03,0.04,481.05,0.08315144
01/01/2018 16:45,0,0,0.01,0,0,481.05,0
01/01/2018 17:00,0,0,0,0,0,481.05,0
01/01/2018 17:15,0,0,0,0,0,481.05,0
01/01/2018 17:30,0,0,0,0,0,481.05,0
01/01/2018 17:45,0,0,0,0,0,481.05,0
01/01/2018 18:00,0,0,0,0,0,481.05,0
01/01/2018 18:15,0,0,0,0,0,481.05,0
01/01/2018 18:30,0,0,0,0,0,481.05,0
01/01/2018 18:45,0,0,0,0,0,481.05,0
01/01/2018 19:00,0,0,0,0,0,481.05,0
01/01/2018 19:15,0,0,0,0,0,481.05,0
01/01/2018 19:30,0,0,0,0,0,481.05,0
01/01/2018 19:45,0,0,0,0,0,481.05,0
01/01/2018 20:00,0,0,0,0,0,481.05,0
01/01/2018 20:15,0,0,0,0,0,481.05,0
01/01/2018 20:30,0,0,0,0,0,481.05,0
01/01/2018 20:45,0,0,0,0,0,481.05,0
01/01/2018 21:00,0,0,0,0,0,481.05,0
01/01/2018 21:15,0,0,0,0,0,481.05,0
01/01/2018 21:30,0,0,0,0,0,481.05,0
