DateTime,Measured,Pos,Neg
09/01/2020 00:00,31.57,78.43,78.43
09/01/2020 00:15,32.58,147.09,147.09
09/01/2020 00:30,36.78,80.43,80.43
09/01/2020 00:45,54.73,66.28,66.28
09/01/2020 01:00,84.07,74.57,74.57
09/01/2020 01:15,122.17,7.07,7.07
09/01/2020 01:30,144.4,5.29,5.29
09/01/2020 01:45,182.27,-17.96,-17.96
09/01/2020 02:00,208.19,7.07,7.07
09/01/2020 02:15,269.67,6.3,6.3
09/01/2020 02:30,288.8,2.59,2.59
09/01/2020 02:45,327.22,1.33,1.33
09/01/2020 03:00,340.41,65.18,65.18
09/01/2020 03:15,264.85,65.18,65.18
09/01/2020 03:30,266.81,65.18,65.18
09/01/2020 03:45,373.24,7.07,7.07
09/01/2020 04:00,393.47,4.7,4.7
09/01/2020 04:15,416.33,7.07,7.07
09/01/2020 04:30,434.41,65.18,65.18
09/01/2020 04:45,429.24,65.18,65.18
09/01/2020 05:00,432.68,65.18,65.18
09/01/2020 05:15,463.85,7.07,7.07
09/01/2020 05:30,475.22,65.18,65.18
09/01/2020 05:45,472.96,65.18,65.18
09/01/2020 06:00,501.93,7.07,7.07
09/01/2020 06:15,500.87,66.28,66.28
09/01/2020 06:30,501.5,67.28,67.28
09/01/2020 06:45,507.94,88.72,88.72
09/01/2020 07:00,531.63,-43.89,-43.89
09/01/2020 07:15,546.27,4.55,4.55
09/01/2020 07:30,526.25,11.4,11.4
09/01/2020 07:45,535.23,66.28,66.28
09/01/2020 08:00,550.04,11.4,11.4
09/01/2020 08:15,583.95,11.4,11.4
09/01/2020 08:30,569.82,11.4,11.4
09/01/2020 08:45,591.25,66.28,66.28
09/01/2020 09:00,556.51,11.4,11.4
09/01/2020 09:15,573.64,66.28,66.28
09/01/2020 09:30,592.57,66.28,66.28
09/01/2020 09:45,633.48,66.28,66.28
09/01/2020 10:00,640.74,66.28,66.28
09/01/2020 10:15,632.59,66.28,66.28
09/01/2020 10:30,614.25,66.28,66.28
09/01/2020 10:45,597.71,66.28,66.28
09/01/2020 11:00,639.37,66.28,66.28
09/01/2020 11:15,627.42,66.28,66.28
09/01/2020 11:30,628.58,67.15,67.15
09/01/2020 11:45,644.44,66.28,66.28
09/01/2020 12:00,640.84,8.5,8.5
09/01/2020 12:15,638.17,6.42,6.42
09/01/2020 12:30,627.88,11.4,11.4
09/01/2020 12:45,636.85,11.4,11.4
09/01/2020 13:00,625.88,11.4,11.4
09/01/2020 13:15,603.05,11.4,11.4
09/01/2020 13:30,576.17,11.4,11.4
09/01/2020 13:45,555.62,11.4,11.4
09/01/2020 14:00,556.28,11.4,11.4
09/01/2020 14:15,538.7,11.4,11.4
09/01/2020 14:30,542.79,11.4,11.4
09/01/2020 14:45,537.51,11.4,11.4
09/01/2020 15:00,533.41,10.18,10.18
09/01/2020 15:15,546.68,11.4,11.4
09/01/2020 15:30,547.16,11.4,11.4
09/01/2020 15:45,541.76,11.4,11.4
09/01/2020 16:00,518.4,11.4,11.4
09/01/2020 16:15,512.94,66.28,66.28
09/01/2020 16:30,475.61,11.4,11.4
09/01/2020 16:45,459.72,66.28,66.28
09/01/2020 17:00,476.55,11.4,11.4
09/01/2020 17:15,476.65,11.4,11.4
09/01/2020 17:30,476.77,11.4,11.4
09/01/2020 17:45,476.31,11.4,11.4
09/01/2020 18:00,430.31,7.81,7.81
09/01/2020 18:15,411.49,7.81,7.81
09/01/2020 18:30,401.67,7.81,7.81
09/01/2020 18:45,406.42,5.72,5.72
09/01/2020 19:00,408.11,66.28,66.28
09/01/2020 19:15,429.24,7.81,7.81
09/01/2020 19:30,458.3,7.81,7.81
09/01/2020 19:45,457.38,7.81,7.81
09/01/2020 20:00,447.87,70.61,70.61
09/01/2020 20:15,440,66.28,66.28
09/01/2020 20:30,461.97,7.81,7.81
09/01/2020 20:45,438.53,66.28,66.28
09/01/2020 21:00,388.68,68.31,68.31
09/01/2020 21:15,374.41,66.28,66.28
09/01/2020 21:30,387.05,69.71,69.71
09/01/2020 21:45,399.07,66.28,66.28
09/01/2020 22:00,388.12,66.28,66.28
09/01/2020 22:15,371.42,67.68,67.68
09/01/2020 22:30,379.67,66.28,66.28
09/01/2020 22:45,387.63,66.28,66.28
09/01/2020 23:00,362.75,66.28,66.28
09/01/2020 23:15,376.27,68.42,68.42
09/01/2020 23:30,344.94,7.81,7.81
09/01/2020 23:45,323.26,7.81,7.81
10/01/2020 00:00,304.78,7.07,7.07
10/01/2020 00:15,297.95,7.07,7.07
10/01/2020 00:30,310.04,5.19,5.19
10/01/2020 00:45,335.69,3,3
10/01/2020 01:00,319.23,4.69,4.69
10/01/2020 01:15,319.18,63.22,63.22
10/01/2020 01:30,330.57,7.07,7.07
10/01/2020 01:45,272.57,63.22,63.22
10/01/2020 02:00,225.3,63.22,63.22
